kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
6422070,K00852.01,Kepler-704 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,3.76182115,171.90371,0.8793,3.3906,540,2.59,1120,372.62,35.4,1,q1_q12_tce,5653,4.472,0.949,283.31638,41.83712,15.257
9471974,K00119.01,Kepler-108 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,49.18394922,141.911878,0.4118,11.3771,1645.7,8.97,706,58.63,341.4,1,q1_q12_tce,5854,3.9,2.192,294.55917,46.062328,12.654
6428700,K00853.01,Kepler-242 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,8.2039687,169.69069,0.8007,2.9478,1078.3,3.04,742,71.5,58.7,1,q1_q12_tce,5015,4.499,0.826,286.5657,41.808399,15.376
6428700,K00853.02,Kepler-242 c,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,14.49643531,143.41518,0.9505,3.862,657.1,2.82,613,33.48,28.9,2,q1_q12_tce,5015,4.499,0.826,286.5657,41.808399,15.376
6435936,K00854.01,Kepler-705 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,56.0560538,201.16561,0.0178,4.595,1809.9,1.96,229,0.64,30.6,1,q1_q12_tce,3593,4.784,0.47,289.50848,41.812119,15.849
6522242,K00855.01,Kepler-706 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,41.40831348,195.787445,0.3253,5.023,24390.9,11.71,453,9.93,919.4,1,q1_q12_tce,5522,4.586,0.747,291.76041,41.944069,15.196
8150320,K00904.03,Kepler-55 c,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,42.1412664,139.05827,1.3499,7.891,1207.4,27.87,356,3.81,28.8,5,q1_q12_tce,4505,4.61,0.658,285.16833,44.026459,15.791
11086270,K00124.02,Kepler-110 c,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,31.71982498,142.82066,0.0971,4.8194,370.6,3.54,786,90.37,62.6,2,q1_q12_tce,5887,3.938,1.843,292.92914,48.60281,12.935
8150320,K00904.04,Kepler-55 e,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,4.61746693,135.05229,0.6,2.1993,493.3,1.51,744,72.56,24,2,q1_q12_tce,4505,4.61,0.658,285.16833,44.026459,15.791
8150320,K00904.05,Kepler-55 f,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,10.19851808,137.92008,0.5496,2.473,567.9,1.6,572,25.25,19.9,4,q1_q12_tce,4505,4.61,0.658,285.16833,44.026459,15.791
